architecture,name,description,category,link,tipo_arquitectura,services
fRv8sOUyhZw,Ippon with Euler Hermes: Transforming a Monolithic Application of Data Analytics with Microservices,"Project is used to migrate legacy database to the cloud (powered by S3, DynamoDB, and ElasticSearch).
    This provides a cloud based analytics platform as well.
    EMR is used to run Hadoop+Spark for ETL workloads.",data_ingestion,https://www.youtube.com/watch?v=fRv8sOUyhZw,,"['Lambda', 'DynamoDB', 'DMS', 'ThirdParty', 'OpenSearch', 'S3', 'UserCompanyAPI', 'Kinesis', 'EMR']"
5QbKp0LQaZo,GumGum Verity: Low Latency Contextual Analysis and Data Privacy at Scale on AWS Outposts,1TB of data in ElastiCache to process requests in less latency,compute_intensive,https://www.youtube.com/watch?v=5QbKp0LQaZo,Edge,"['DynamoDB', 'ApiGateway', 'UserConsumerWeb', 'ALB', 'ElastiCache', 'Outpost', 'ECS', 'EKS']"
QM96Fv_NAnw,INT: Seismic Data Visualization Platform Designed for Cloud,visualization for geoscience data. Ivaap - client server application. OSDU used to remotely access geoscience data. Isolated microservice arch. OSDU - gateway and S3. they use indexing for their tracing.,interactive,https://www.youtube.com/watch?v=QM96Fv_NAnw,,"['ApiGateway', 'UserConsumerWeb', 'ThirdParty', 'EC2', 'S3', 'RDS', 'Cognito']"
mxKhbU_ToMs,MindTouch: Modernizing Legacy C Applications to  NET Core on AWS Lambda,"Video describes migration of their monolith app to microservices.
    Some functions are still done by the monolith running on EC2.
    The app running on EC2 emits events (that need to be serviced). These are classified based on topic and sent to various SQS queues for execution.
    The execution pipeline is not described.
    Error handling is done using another SQS queue (Dead Letter Queue) which gets failed events from various SQS queues.
    These failed events are then stored to a database which is accessible by developers using a UI.
    There is a cron job which is triggered periodically and submits failed events back to execution queues for retry.",compute_intensive,https://www.youtube.com/watch?v=mxKhbU_ToMs,,"['Lambda', 'UserConsumerWeb', 'SNS', 'ThirdParty', 'EC2', 'SQS', 'UserCompanyDeveloper']"
d0EE1HuZSEU,William Hill: Highperformance DDOS Protection with AWS,"Internal infra that can be used by developers internally to create apps with DDOS protection.
    ShieldAdvanced for Layer 3/4 attacks.
    WAF for more blocking more complicated Layer 7 attacks.
    Non sensitive traffic goes to ELB. Sensitive traffic goes to EC2. EC2 hosts F5 BIG-IP as an extra layer of protection.
    Logs are collected in S3 and then sent to on-premise analysis tools which identify further malicious traffic (ip addresses). These are then populated in WAF.
    The above in a way is a continuous improvement loop.",control,https://www.youtube.com/watch?v=d0EE1HuZSEU,Edge,"['Lambda', 'DynamoDB', 'VPCPeering', 'DirectConnect', 'ThirdParty', 'EC2', 'WAF', 'S3', 'Route53', 'ELB', 'ShieldAdvanced', 'CloudFront', 'VPC']"
Kp088QTRmLk,NewsUK: Rendering News Content with GraphQL and a Serverless Architecture,"NewsUK: newspaper publisher
    System: provide content API which is used to render a page for users when going to www.irs.gov
    Cache available at GraphQL
    DataStore can be both external and internal data
    Rogue access will be dropped at WAF",interactive,https://www.youtube.com/watch?v=Kp088QTRmLk,Edge,"['Lambda', 'ApiGateway', 'UserConsumerWeb', 'ThirdParty', 'WAF', 'Route53', 'CloudFront']"
YT21s0_ZJVQ,AMPOS: Managing Systems Across AWS Global Regions and China Regions,"employee experience program. different ways of using with diff. configs. in korea and china systems duplicated. 
    latency issues earlier. app servers deployed in many regions for better performance. 
    datalake is in tokyo. why tokyo? net connection stable for china. why cloud formation? lots of environemts, 
    automate to update environment, for china, another one, so they setup because some additions there. ci/cd challenges?
    1. aws global regions and china region cannot share resources. why data lake in tokyo?
    biz perspective - location based - clients require both global and local view. so tokyo helps. 
    rds from china and singapore goes to glue in datalake in tokyo. future? they will use direct connect easily. instead of glue.why?
    reduce no.of errors and system more stable. reduce latency - better exp for users.",data_ingestion,https://www.youtube.com/watch?v=YT21s0_ZJVQ,,"['CodeBuild', 'CloudFormation', 'ECR', 'S3', 'KMS', 'RDS', 'Glue']"
D9qTotVJYss,HBO Max: Using Canaries for Outside-in Validation,"Account management for customer care agents, fraud mitigation toolsDeployment in multiple regions",data_ingestion,https://www.youtube.com/watch?v=D9qTotVJYss,,"['Lambda', 'S3', 'AppSync', 'Amplify', 'UserCompanyAgent', 'CloudWatch']"
hnMQFnTGr3I,Nanit: How Nanit Streams and Analyzes Video from Hundreds of Thousands of Cameras,"- Smart baby camera. WHAT ABOUT SECURITY?
    - Client side load balancing instead of ELB. (no idea why)","data_ingestion,interactive",https://www.youtube.com/watch?v=hnMQFnTGr3I,Edge,"['Lambda', 'ALB', 'S3', 'UserConsumerCamera', 'SQS', 'Route53', 'UserConsumerMobile', 'RDS', 'EKS']"
Yju3yReAQtc,Fortinet Uses AWS Serverless to Provide a Highly Available ControlPlane for their FortiWeb CloudWAF,"The architecture has multi regions of S3, API Gateway, Lambda and DynamoDB.
    Motivation is disaster recovery, satisfying different regulatory requirements in different countries, and serve customers in different geographical regions cost effectively
    DynamoDB is chosen because of easier data manipulation
    AWS ElasticSearch is used for faster lookups, faster filtering. The logging functionality is offloaded to ElasticSearch.
    Machine learning is used to detect anomalies and threats (not included in graph)
    This is control plane, and sends configuration to external cluster.",interactive,https://www.youtube.com/watch?v=Yju3yReAQtc,Edge,"['Lambda', 'ApiGateway', 'DynamoDB', 'OpenSearch', 'S3', 'UserCompanyInternalPlatform', 'CloudFront']"
lcLw-Le_tXQ,Bitmovin: Distributed Video Encoding on AWS,"distributed video encoding. company provides infra for video web. they have videos stored in S3 
    buckets which are fetched by the master node upon being triggered by a scheduler which schedules events based on requests from backend.
    this video is then pulled in from s3 and passed onto the kubernetes cluster which uses EC2 spot instances. 
    only work on small chunk of videos i.e splicing. to avoid loss. after processing done, merge the outputs, put on customers s3 bucket.
     cdn then passes it on to users.",compute_intensive,https://www.youtube.com/watch?v=lcLw-Le_tXQ,,"['UserConsumerAPI', 'EC2', 'S3', 'EKS']"
GoziWpmFCS0,iRobot: Serverless Data Cataloging for Data Scientists,"IOT connected robot company. This video explains their data lake architecture.
    Input data (JSON records) is first stored in S3. Glue crawler then catalogues it and stores in data catalogue.
    Data catalogue allows inspecting schema of the incoming data.
    A Glue job then reads the recently arrived data and transforms it into parquet format. This is then written to another S3.
    This format allows faster cheaper queries on historical data.
    Video doesn't have much in terms of graph.",data_ingestion,https://www.youtube.com/watch?v=GoziWpmFCS0,Edge,"['Athena', 'S3', 'Glue']"
4WjXH8Wp0E4,Kainos: Kainos Advances Patient Care with Next Generation Interoperability Platform,"Manages patient records and information. Two kinds -- structured and unstructured. Allows querying by users.
    FHIR: Fast Healthcare Interoperability Resources -- provides rich data model to store data in a standardised format.
    Two different flows for ingestion (based on structured or unstructured).
    Services user queries about records. Note the UserConsumerWeb widget is a representative of a user querying. The query may be made from other platforms too.","data_ingestion,interactive",https://www.youtube.com/watch?v=4WjXH8Wp0E4,Edge,"['Lambda', 'UserConsumerWeb', 'DirectConnect', 'ThirdParty', 'EC2', 'S3', 'SQS', 'UserConsumerHospital', 'RDS', 'StorageGateway']"
vp2Ipv2_uCg,American Heart Assoc: 100 years of Content is Discoverable with Serverless & AI on AWS,"IT for infra and business folks to train the botKinesis - so the data can be pushed into lot of analytics toolsAnalytics to improve customer experienceLex provides omni-channel experience to deliver the content via multiple channels like Facebook Messenger, SlackLex over alexa to overcome accent challengesSeparation of bot which lex provides and the web pages to show more additional information",data_ingestion,https://www.youtube.com/watch?v=vp2Ipv2_uCg,Edge,"['Athena', 'Lambda', 'ApiGateway', 'UserConsumerAlexaGoogleHome', 'OpenSearch', 'S3', 'Lex', 'Kinesis', 'Polly']"
nt4lQx6tAI8,The Wall Street Journal: Newsroom Enhances Real-Time Updates With AWS AppSync,"appsync is the core for real time updates. route53 to see where the system is live. Appsync used because users located globally. do they use subscriptions? yes, they do to get the most latest data. make payload as small as possible. multiple datasources can be reached out to.dynamodb is the primary datasource. Raw EC2 spread across availability zones.",interactive,https://www.youtube.com/watch?v=nt4lQx6tAI8,,"['Lambda', 'DynamoDB', 'EC2', 'OpenSearch', 'AppSync', 'Route53', 'ELB', 'UserConsumerMobile', 'Cognito']"
qN5-v4NlKac,Cookpad: Security Architecture to Monitor and Analyze Secure Logs using AWS (English),"100 million users worldwide for cooking recipe tips. most innovative part of architecture: latency should be under 1 minute. rts is expensive. this arch achieves low latency and log data integrity. 330 million logs per day. ~270 gb data. to handle these logs, $2 per day cost of lambda. no configuration reqd for logs as s3 has no such requirement. anomaly detection future play with sagemaker.",data_ingestion,https://www.youtube.com/watch?v=qN5-v4NlKac,,"['Firehose', 'Lambda', 'Athena', 'CloudTrail', 'ThirdParty', 'EC2', 'S3']"
O5Sn5QCEAzE,Credimi: Processing and Metadata Extraction of Invoices for Factoring Italian,"Company is a startup that operates in FinTech and deals with advance invoicing
    System: allow users to upload an invoice onto portal, and receive bank transfer

    RDS is using MySQL
    
    PDF Case:
    Data sent to S3 is usually PDF
    Metadata of invoice is kept in RDS for future lookup

    Digital Invoicing (XML) Case:
    Invoice first created in RDS
    XML is sent to S3 for storage, and then to Lambda for Metadata extraction
    Metadata is finally stored in RDS

    For disaster recovery, EC2 and RDS are on Multi-AZ, RDS has snapshots replicated on various regions",data_ingestion,https://www.youtube.com/watch?v=O5Sn5QCEAzE,,"['Lambda', 'UserConsumerWeb', 'EC2', 'S3', 'ELB', 'RDS']"
1VcpCVe3tLQ,Swimming Australia: Going for Gold at the Olympics with Machine Learning,Usage place of step functions is not clearly indicated.,"data_ingestion,compute_intensive,interactive",https://www.youtube.com/watch?v=1VcpCVe3tLQ,,"['Athena', 'Lambda', 'ApiGateway', 'SageMaker', 'UserCompanyDataStream', 'S3', 'StepFunctions', 'Aurora', 'UserConsumerMobile', 'Glue']"
K27WjYwyqw8,Next Caller: Phone Caller Fraud Detection with AWS Sagemaker,,interactive,https://www.youtube.com/watch?v=K27WjYwyqw8,,"['Lambda', 'DynamoDB', 'ApiGateway', 'SageMaker', 'S3', 'SQS', 'UserConsumerMobile']"
WZ4YL4Z177Q,Delhivery: Building a Supply Chain Technology Platform for Speed  Network Optimization,"100M events.
    Supply chain technology company's platform for a variety of tasks.
    It seems most of their architecture is geared towards capturing events originating from their app and storing/distributing them.
    They also provide ApiGateway access to their database.","data_ingestion,interactive",https://www.youtube.com/watch?v=WZ4YL4Z177Q,,"['Lambda', 'ApiGateway', 'SNS', 'OpenSearch', 'EC2', 'S3', 'ECS', 'UserConsumerWebMobile', 'UserConsumerAPI', 'Kinesis', 'RDS']"
bQqJpjv-FXs,ēdn: Reinventing Indoor Gardening with Interactive Workflows Using AWS IoT Core and Amazon Pinpoint,,data_ingestion,https://www.youtube.com/watch?v=bQqJpjv-FXs,Edge,"['Lambda', 'ApiGateway', 'UserCompanyDataStream', 'Pinpoint', 'IoTCore', 'UserConsumerMobile']"
YosezjoL4MU,Korean Airline: Data Warehouse Modernization on AWS Korean,"Migrating existing on-premises data warehouse to Amazon Redshift
    DMS replicates data in EC2 in real time to RDS (within seconds). In case of large events (eg. flight departure) where millions of data generated, synchronization takes up to 3 min
    Data from source DB to RDS is converted using Amazon's SCT, Schema Conversion Tool
    Glue code configuration done through CI/CD Pipeline
    Future: after loading data to cloud, perform data analysis in real time; load other data such as SKYPASS to the data lake; create better customer service by integrating customer data and machine learning",control,https://www.youtube.com/watch?v=YosezjoL4MU,,"['Athena', 'CodeBuild', 'DMS', 'CloudFormation', 'CodePipeline', 'CodeCommit', 'EC2', 'S3', 'UserCompanyAnalyst', 'RedShift', 'RDS', 'Glue']"
cRxvZBIa-gI,"Equifax: Achieving Cost Savings and Reliability with EKS, Graviton2, and Aurora Global",60-70 percent cost savings with the right balanced use of on-demand EC2 + Spot Instances60 percent spot instances and 40 percent of on-demans ec2 instances,interactive,https://www.youtube.com/watch?v=cRxvZBIa-gI,,"['ALB', 'ThirdParty', 'UserConsumerMobile', 'EKS', 'Aurora']"
DnTQ3matqts,ecofit: Responsive Lambda-based Microservices at Scale (LIVE),"Platform to fitness club for their equipment utilization/maintenance/purchasing decisions.
    IoT systems have specific concerns of sensors going offline.","data_ingestion,interactive",https://www.youtube.com/watch?v=DnTQ3matqts,Edge,"['Lambda', 'ApiGateway', 'UserConsumerEdge', 'SQS', 'Timestream', 'IoTCore', 'UserConsumerMobile', 'Greengrass', 'Cognito']"
bqZWYmRAka0,DBS Bank: Architecting Quant Pricing Engine for Performance with Amazon ElastiCache,,compute_intensive,https://www.youtube.com/watch?v=bqZWYmRAka0,,"['ALB', 'ThirdParty', 'ECS', 'UserConsumerAPI', 'ElastiCache']"
unF9tdYjqvU,Nexthink: Going Global with Amazon API Gateway AWS Transit Gateway AWS Lambda and Amazon DynamoDB,"Company is a global employee experience platform.
    Latency based routing for Route53
    Multiple sets of EKS, TransitGateway
    GlobalTable feature of DynamoDB is used such that it's available in all regions",other,https://www.youtube.com/watch?v=unF9tdYjqvU,,"['Lambda', 'ApiGateway', 'DynamoDB', 'UserConsumerWeb', 'Route53', 'TransitGateway', 'EKS']"
ErXwuwF2mRU,Tapestry: Machine Learning and Analytics for the Fashion Industry on AWS,Fashion house. Serverless atchitecture. Amplify Framework for easy development and deployment. Pinpoint to get user analytics.,data_ingestion,https://www.youtube.com/watch?v=ErXwuwF2mRU,,"['Lambda', 'ApiGateway', 'UserConsumerWeb', 'EC2', 'S3', 'Pinpoint', 'ECS', 'Amplify', 'Cognito']"
3yJZ6rPoZfg,Hexagon HxDR: Cloud-Based Visualization of Spatial Data,"- HxDR is a cloud-based visualization platform for spatial data. (Hexagon Digital Reality)
 - This product is the datastore which stores the licensed data. Platform for sending data and integrating with other systems.",compute_intensive,https://www.youtube.com/watch?v=3yJZ6rPoZfg,Edge,"['UserConsumerEdge', 'EC2', 'S3', 'SQS', 'EKS', 'VPC']"
yVgxqT1vikk,Intent: Analyzing Billions of Customer Events Per Day Using Serverless,Billions of events per day. Data in avro format so that data follows same schema for downstream applications.,data_ingestion,https://www.youtube.com/watch?v=yVgxqT1vikk,,"['Lambda', 'Firehose', 'ApiGateway', 'Athena', 'UserCompanyDataStream', 'S3', 'ECS', 'Kinesis']"
co4_t2gN1T8,AC3: Multi-stage Geospatial Data Lake with Step Functions (LIVE),"Converting manual process using spreadsheets to automated analytics. The geo spatial python libraries are huge and exceed the Lambda sizes - which is taken care by identifying the dependencies for different actions and splitting them up into multiple lambda functions. Concurrent request execution - 500 documents a day, 2 days faster to get the geo tiff file converted to land xml.",interactive,https://www.youtube.com/watch?v=co4_t2gN1T8,,"['Lambda', 'ApiGateway', 'DynamoDB', 'SNS', 'ThirdParty', 'S3', 'StepFunctions', 'UserCompanyDeveloper']"
R-DPMUjZEf4,Logicworks: HIPAA Compliance and SSL Termination with Thousands of Certificates,"Company: provide compliance services to health care and finance
    Transformed from on-premise to cloud
    Requirements: 
    - IP address needs to be fixed for white listing (solved by NLB)
    - Large volume (tens of thousands) of SSL termination (solved by HAProxy at first EC2)
    ELB used to load balance between different apps (used rather than ALB due to TCP mode)",other,https://www.youtube.com/watch?v=R-DPMUjZEf4,,"['UserConsumerWeb', 'EC2', 'NLB', 'ELB', 'RDS']"
S85DeDgWQSc,San Diego Gas & Electric: Using Image Recognition and Machine Learning to Reduce Wildfire Risk,"Rekognition: detecting large assets: utility poles,
Lookout for Vision: detecting small assets.",data_ingestion,https://www.youtube.com/watch?v=S85DeDgWQSc,Edge,"['Lambda', 'Athena', 'ApiGateway', 'UserCompanyDrone', 'S3', 'StepFunctions', 'UserCompanyAnalyst', 'UserConsumerMobile', 'Rekognition', 'LookoutForVision', 'Aurora']"
zhCNn7v7mvs,CM Group: Building an Available Scalable Reliable Email Delivery System,"Email marketing company. This video is about email delivery subsystem.
    Billions of messages per year, 8-10M messages/hour at peak.
    Using ElasticCache for queues; Why not SQS? -> Legacy reasons, intend to move to SQS.
    EC2 are not autoscaling, but can scale on-demand.
    Use EC2 instead of Lambda or containers: As an email service, need extreme reliability; email must be delivered exactly once. Also mention performance reasons.
    Aurora and S3 are under different accounts than others; others can be deployed in different regions.",interactive,https://www.youtube.com/watch?v=zhCNn7v7mvs,,"['Firehose', 'EC2', 'S3', 'NLB', 'UserConsumerAPI', 'ElastiCache', 'Aurora']"
LPZlrX2cNjo,RedBus: Building Optimized ML Models with Amazon SageMaker,Sagemakers BYOA(bring your own algo) to bring randon forest classifier to Sagemaker. Use of Sagemaker's Hyper Parameter optimization to improve the accuracy of the model. Without HPO - manual processes and this reduced time from week to a day. 30-35 Million reviews for the first time training in sagemaker. Future plans - Use of Sagemakers builtin algos.,compute_intensive,https://www.youtube.com/watch?v=LPZlrX2cNjo,,"['SageMaker', 'ThirdParty', 'EC2', 'UserConsumerWeb']"
Jz2RPRhF6Fs,Accolade: Security and Operational Excellence in Healthcare LIVE,"Healthcare data management. Security and authorisation is important.
    This video describes how they load balance between their cloud api and legacy api + perform authorised data access.",interactive,https://www.youtube.com/watch?v=Jz2RPRhF6Fs,Edge,"['Lambda', 'ApiGateway', 'DynamoDB', 'LambdaAtEdge', 'ALB', 'ThirdParty', 'ELB', 'UserConsumerMobile', 'CloudFront']"
f5EJBUfGZtw,Expedia: Salesforce Integration with AWS,running on cloud.. there is batch processing... real time integration w salesforce.. 500-800m rows on a daily basis.. bottom sec - 5-10m events/day.. easily scalable,data_ingestion,https://www.youtube.com/watch?v=f5EJBUfGZtw,,"['Lambda', 'ThirdParty', 'EC2', 'S3', 'Aurora', 'SQS', 'ECS', 'UserConsumerAPI', 'Glue']"
-ahWdCysMYw,Summit Technology Group: Building a Data Consumption Model for Multi-Tenant Applications,"Multitenant SaaS application. Data isolation necessary because it deals with loans.
key insight: hybrid architecture of providing a multitenant SaaS service on top of AWS, while letting users bring their data in.
is saas or multiaccount.",interactive,https://www.youtube.com/watch?v=-ahWdCysMYw,,"['ThirdParty', 'ControlTower', 'UserCompanyAnalyst', 'QuickSight', 'TransitGateway', 'EKS', 'VPN', 'Aurora']"
pwrdLJx0iAU,Cal Poly: Using DevOps  Security by Design to Manage Student Accounts,"CalPoly is a college using AWS for DevOps.
    Primary use of AWS infra is for access control, security, identity management, logging.
    AWS Virtual Private Cloud is also used in which there are two subnets Public and Private.
    22k students and 5k faculties work in this college.
    AWS Config to setup guardrails around access control and online security.",control,https://www.youtube.com/watch?v=pwrdLJx0iAU,,"['Lambda', 'CloudFormation', 'IAM', 'CloudTrail', 'AWSConfig', 'VPC']"
BlCXEMp_lqY,Vizio: Smart TV Analytics at Scale,Millions of connected devices with Billions of events per month. 6 weeks to go to prod with the help of Amazon professionals help,data_ingestion,https://www.youtube.com/watch?v=BlCXEMp_lqY,Edge,"['Firehose', 'UserConsumerTV', 'S3', 'RedShift', 'QuickSight', 'Kinesis']"
plce6pRdx6o,Strikingly: Build a Website in 20 Minutes on AWS,"Building own service rather than CloudFront for supporting tens of thousands of domains
    The edge (ELB, ECS, ElastiCache, SQS) setup can be duplicated to support multiple domains
    The main region (i.e. security manager) will communicate with Let's Encrypt for certificate issue
    The security manager will distribute the new certificate to all edge nodes for it to work
    In the distribution of certificate, straight API upload is not used because of security, and plug-and-play design choice (i.e. main region does not maintain a list of edge nodes)",other,https://www.youtube.com/watch?v=plce6pRdx6o,,"['SNS', 'EC2', 'SQS', 'ELB', 'ECS', 'RDS', 'ElastiCache']"
qv9q0sFt6aY,LotteOn: BI Platform Using MicroStrategy Amazon Redshift and AWS Glue on AWS Korean,"Ingest multiple data sources into a data lake. Only mention data lake but not specifying the exact service.
    The graph is a little tricky. Does not make a lot of sense to me...
    User Parquet format in the data lake; transfer into Parquet first before ingesting into the data lake; DynamoDB data is stored in Redshift as JSON.",data_ingestion,https://www.youtube.com/watch?v=qv9q0sFt6aY,,"['DynamoDB', 'ThirdParty', 'EC2', 'S3', 'OpenSearch', 'RedShift', 'RDS', 'Glue']"
qIO_54vJ_JI,Lancom Technology: Building a Scalable Video Conferencing Application,,data_ingestion,https://www.youtube.com/watch?v=qIO_54vJ_JI,,"['Fargate', 'EC2', 'S3', 'SQS', 'UserConsumerMobile', 'UserCompanyAgent']"
hFx0EF9KEZU,Buzzvil: Segment Processing and Provision for Ad Recommendation Korean,"Hard to categorise since there are 3 clear flows here.
    1. Data ingestion of user behaviour and converting it into actionable data.
    2. Admin work to compute recommendations based on policies.
    3. Generating recommendations when a request is made.","data_ingestion,compute_intensive,interactive",https://www.youtube.com/watch?v=hFx0EF9KEZU,,"['Firehose', 'Lambda', 'DynamoDB', 'Athena', 'ThirdParty', 'S3', 'UserConsumerWebMobile', 'RDS', 'EKS']"
qi017F1UwvM,Salesflo: Transforming FieldForce Operations Using EventDriven Architecture,"Requirement: compliance control and monitoring of field force operations.
    The web requests end up configuring step functions.","data_ingestion,interactive",https://www.youtube.com/watch?v=qi017F1UwvM,,"['Lambda', 'Athena', 'ApiGateway', 'UserConsumerWeb', 'Fargate', 'SNS', 'S3', 'StepFunctions', 'Route53', 'UserConsumerMobile', 'Kinesis', 'RDS', 'ElastiCache', 'Glue']"
wjtSHyENv0I,"Main Street America Insurance: The Independent Agent Portal, Breaking up the Monolith","Gradual migration from a java monolith to python serverless.
For functionalities that are not yet migrated, lambda makes API calls to the monolith.
Cost: able to shut down 25 on-prem servers.",interactive,https://www.youtube.com/watch?v=wjtSHyENv0I,Edge,"['Lambda', 'ApiGateway', 'DynamoDB', 'UserConsumerWeb', 'EC2', 'S3', 'CloudFront']"
pk5yddJpC_8,Benevity: Centralized Logging for Multiple Compute Classes Using OpenSearch,"Logging system. Previous have different log processing systems and many movement; now use a centralized system (OpenSearch).
    Use three log processing services: logstash has already setup for EC2; fluentbit is easy to setup for Fargate (as a side card directly in ECS task definition).
    Users access the logs though Okta, which also handles access control.",data_ingestion,https://www.youtube.com/watch?v=pk5yddJpC_8,,"['Lambda', 'Fargate', 'ThirdParty', 'OpenSearch', 'EC2', 'UserCompanyDeveloper']"
BZ32w0SSAoY,PixelStrings by Cinnafilm: A Flexible & Scalable Platform for Video Audio Optimization & Conversion,Video processing company.,compute_intensive,https://www.youtube.com/watch?v=BZ32w0SSAoY,,"['Lambda', 'UserConsumerWeb', 'ThirdParty', 'EC2', 'S3']"
uda9s3U7vFw,Tooso: How to Build a Serverless Pipeline for Data Ingestion and PreProcessing Italian,"Tooso AI: develop semantic technology based on a proprietary knowledge graph. Application in digital comerce, can identify product specifications for customer
    This system: pipeline for data analytics acquisition (which customers integrate into their apps), and train search engine to optimize results
    Communication with CloudFront is for downloading java snippet (?) for event tracking
    Event log and Lambda responses are sent to Firehose
    Benefit: by using serverless, the system can handle different loads without intervention
    Future: acquire data through Cloudfront instead of API gateway and Lambda",data_ingestion,https://www.youtube.com/watch?v=uda9s3U7vFw,Edge,"['Lambda', 'Firehose', 'ApiGateway', 'SNS', 'S3', 'Route53', 'UserConsumerMobile', 'CloudFront']"
a1sEfGVDpEQ,Swiss Post Ltd: Security and Compliance of AWS Accounts at Scale German,"Security logs and events are accumulated from various member accounts (the first SecurityHub and GuardDuty)
    into a central set of services (SecurityHub and GuardDuty).
    A lambda reads all the data and sends to consumers after some filtering.
    An S3 bucket holds security policy data (json) and any config updates (policy update) are applied via a lambda.
    The video mentions that StepFunctions are used for auto-remediation but does not elaborate further.",data_ingestion,https://www.youtube.com/watch?v=a1sEfGVDpEQ,,"['Lambda', 'Firehose', 'ThirdParty', 'GuardDuty', 'StepFunctions', 'S3', 'SecurityHub']"
kD57QUn5myc,AWS Solutions:  AI Powered Speech Analytics for Amazon Connect,"DynamoDB, as a NonSQL database, enables the mapping between customer and call transcription
    Translate provides real time translation (helpful for call centers distributed geographically)
    Comprehend provides real time context (eg. if customer satisfied)",other,https://www.youtube.com/watch?v=kD57QUn5myc,,"['Lambda', 'Comprehend', 'DynamoDB', 'Connect', 'S3', 'UserCompanyAgent', 'UserConsumerMobile', 'Kinesis', 'Translate', 'Transcribe']"
N0NBhnxez00,This is My Architecture: Analytics Customer Spotlight,summary video,control,https://www.youtube.com/watch?v=N0NBhnxez00,,"['UserConsumerAPI', 'Kinesis']"
uQFtb0iMC_s,AWS Solutions: Media Analysis,"why step functions? a) Allows to run multiple AI services based on media type.  b) Extensibility for customer. 'exactly why Step Functions was used': developer can add a branch e.g. send to SageMaker/Textract and send to elasticsearch.
    HACK & LIMITATION: Transcribe has limitation of audio size. Use MediaConvert to extract audio from video to bypass this limitation.
    any persistence layer is fine (no particular need for opensearch/elasticsearch), e.g., since the output is JSON, could be stored in S3 and query with Athena.",data_ingestion,https://www.youtube.com/watch?v=uQFtb0iMC_s,,"['Lambda', 'Comprehend', 'OpenSearch', 'S3', 'StepFunctions', 'MediaConvert', 'Rekognition', 'Transcribe']"
OWLGK-eVrTw,Heimdall Data: Query Caching Without Code Changes,"ISV working with Amazon to provide a proxy. performance and scale important. no work on the client side for confiduration. cache sits on the proxy as L1. in addition, elasticache used too.",interactive,https://www.youtube.com/watch?v=OWLGK-eVrTw,,"['Lambda', 'ThirdParty', 'NLB', 'UserConsumerAPI', 'RDS', 'ElastiCache']"
w-qGSyzDL6g,Zillow: Near Real-Time Natural Language Processing (NLP) for Customer Interactions,saving upto 75 percent on compute costsBatch + Lambda to scale ECS,data_ingestion,https://www.youtube.com/watch?v=w-qGSyzDL6g,HPC,"['Firehose', 'Lambda', 'UserCompanyDataStream', 'SNS', 'Batch', 'ThirdParty', 'ECR', 'S3', 'UserCompanyAnalyst', 'ECS', 'Transcribe']"
uMX94Mn9u-4,Kmong: Enhancing Security by Leveraging AWSs Security EPICs Acceleration Program Korean,"Freelancer platform, 300 categories of services
    Purpose of system: identify logs, prioritize & respond to security events

    Data analyzed by services like elastic search and Athena
    Security Hub emits alerts by triggering Lambda or SNS service

    Save 80% of time spent detecting and responding to security events

    Future plan: security threats can be detected in running instances of ECS/EMR",control,https://www.youtube.com/watch?v=uMX94Mn9u-4,,"['Lambda', 'OpenSearch', 'GuardDuty', 'WAF', 'SystemsManager', 'SecurityHub', 'Kinesis', 'CloudWatch', 'Detective']"
fppIOuRMI2g,Instructure: Elevating Digital Education to the Next-Level Event Driven CI/CD Deployments Globally,"learning platform. **Work replicated across regions**. SNS for fanout.
Flow: git -> CI/CD pipeline -> writes manifest to S3 -> SNS -> fanout to all regions -> lambda functions (reads from S3) -> DYNAMIC CLOUDFORMATION template files. -> deployment queued to SQS for fault tolerance & retry -> EKS",control,https://www.youtube.com/watch?v=fppIOuRMI2g,,"['Lambda', 'CloudFormation', 'EKS', 'SNS', 'S3', 'SQS', 'UserCompanyDeveloper']"
MbkLJ62jtMc,Mueller Water Products: Scalable Ingestion of Sensor Data for Municipal Water Conservation LIVE,"Real time notification system
    Over 1m devices

    Many SQS (eg. one for email, one for persistent storage in DynamoDB)
    User Company API is for notification pushing (eg. email, SMS, UI)

    Completely serverless, so no need to worry about scalability, and less operational cost
    Used to use",control,https://www.youtube.com/watch?v=MbkLJ62jtMc,Edge,"['Lambda', 'DynamoDB', 'SNS', 'SQS', 'UserCompanyAPI', 'RDS']"
YrEc8oMIxDs,Thales: Automate Security Threat Detection and Remediation with AWS Security Services French,"Security event data ingest pipeline, that accepts inputs from multiple sources and triggers events on a
    number of thirdparty apps for efficient troubleshooting and monitoring.",data_ingestion,https://www.youtube.com/watch?v=YrEc8oMIxDs,,"['ThirdParty', 'GuardDuty', 'StepFunctions', 'Inspector', 'SecurityHub', 'CloudWatch']"
fTxvwVj02P0,Simpego: Swiss InsurTech Running All Core Business Processes on AWS (German),"Swiss Insurer. ML pricing for customers. EKS for scalability, stability, cost saving. Glue because its serverless and processes data incrementally.","data_ingestion,interactive",https://www.youtube.com/watch?v=fTxvwVj02P0,,"['Firehose', 'Athena', 'UserConsumerWeb', 'ThirdParty', 'S3', 'EKS', 'Glue']"
